situacao_na_venda,val_avaliacao,segmento,UF,Tipo_de_imovel,dias_ate_ser_vendido
1,72000.0,2,19,1,1645
0,66000.0,1,19,1,1675
0,66000.0,1,17,1,183
1,73490.0,1,19,1,1814
1,73500.0,1,5,1,1715
0,58000.0,0,24,11,1521
0,66300.0,1,8,1,1568
1,72458.46,2,19,1,86
1,74000.0,1,19,1,457
1,74000.0,1,19,1,1556
1,74000.0,1,13,1,1190
1,74000.0,1,19,1,459
1,74000.0,1,16,1,1648
1,74000.0,1,24,1,1303
1,74000.0,1,4,1,1555
1,74000.0,1,19,1,1387
1,74000.0,1,1,1,71
1,74000.0,1,16,1,1736
1,74000.0,1,19,1,456
1,74118.76,1,15,0,1388
1,74283.53,1,16,1,1725
1,74316.16,1,13,1,1554
1,73000.0,2,19,1,1561
1,73000.0,2,22,0,473
1,74500.0,1,16,1,1702
1,74811.48,1,19,1,1375
1,75000.0,1,19,1,486
1,75000.0,1,19,1,378
1,75000.0,1,4,1,1817
1,75000.0,1,19,1,148
1,75000.0,1,19,1,1303
1,75000.0,1,5,1,106
1,75000.0,1,19,1,618
1,75000.0,1,19,1,485
1,75000.0,1,19,1,457
1,66000.0,0,15,1,1617
1,66000.0,0,18,1,1374
1,73790.0,2,8,1,1676
1,73876.18,2,18,1,221
1,75300.64,1,15,1,317
1,75322.37,1,16,1,1596
1,73930.73,2,15,1,206
1,74000.0,2,13,1,1282
1,74000.0,2,18,1,121
1,74000.0,2,19,1,1689
1,74000.0,2,19,1,1614
1,74000.0,2,13,1,1568
1,75645.47,1,16,1,1316
1,66500.0,0,17,7,1618
0,68000.0,1,16,1,1548
1,74500.0,2,13,1,1568
1,75952.34,1,19,1,504
1,75964.64,1,13,1,1634
1,76000.0,1,8,1,1522
1,76000.0,1,19,1,192
1,76000.0,1,19,1,151
1,76000.0,1,19,1,1704
1,76000.0,1,19,1,351
1,76000.0,1,24,1,1303
1,76000.0,1,13,1,291
1,76000.0,1,13,1,1562
1,76000.0,1,16,1,122
1,76000.0,1,15,1,1698
1,76000.0,1,19,1,1303
1,76000.0,1,19,1,457
